"TOA5","CR1000_Lanyu","CR1000","81819","CR1000.Std.31","CPU:CR1000_CWB_RadObs_Lanyu_20180928.CR1","36738","Aux_minute"
"TIMESTAMP","RECORD","BattV_Min","SWD_tot_mv_Avg","SWD_dif_mv_Avg","SWD_dir_mv_Avg","LWD_mv_Avg","UVB_mv_Avg","UVE_mv_Avg","PAR_mv_Avg","SWD_tot_ct_Avg","SWD_dif_ct_Avg","LWD_ct_Avg","mt_flag_Tot","SWD_tot_mv_Max","SWD_tot_mv_Min","SWD_tot_mv_Std","SWD_dif_mv_Max","SWD_dif_mv_Min","SWD_dif_mv_Std","SWD_dir_mv_Max","SWD_dir_mv_Min","SWD_dir_mv_Std","LWD_mv_Max","LWD_mv_Min","LWD_mv_Std","UVB_mv_Max","UVB_mv_Min","UVB_mv_Std","UVE_mv_Max","UVE_mv_Min","UVE_mv_Std","PAR_mv_Max","PAR_mv_Min","PAR_mv_Std","SWD_tot_ct_Max","SWD_tot_ct_Min","SWD_tot_ct_Std","SWD_dif_ct_Max","SWD_dif_ct_Min","SWD_dif_ct_Std","LWD_ct_Max","LWD_ct_Min","LWD_ct_Std"
"TS","RN","Volts","mV","mV","mV","mV","mV","mV","mV","C","C","C","","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","C","C","C","C","C","C","C","C","C"
"","","Min","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std"
"2019-05-09 00:00:00",320591,12.02,0.7550095,0.7591245,-0.003382154,-0.1061433,58.09224,56.66553,0.8936779,0,0,23.7302,0,0.7778923,0.7339304,0.01294069,0.7778923,0.7373126,0.01218284,-0.00338214,-0.003382168,1.372937E-08,-0.09131779,-0.1319045,0.01305701,58.20287,57.8625,0.08691488,56.8414,56.33084,0.1317013,0.9199421,0.8692171,0.01494945,0,0,0,0,0,0,23.80919,23.65385,0.04227518
"2019-05-09 00:01:00",320592,12.02,0.7968862,0.798239,-0.00338213,-0.0940796,58.0185,56.58328,0.9417541,0,0,23.61432,0,0.818471,0.7778923,0.01145156,0.818471,0.7778923,0.01062984,-0.003382111,-0.00338214,1.377059E-08,-0.09131701,-0.09808207,0.00218252,58.20287,57.69231,0.1364717,56.8414,56.33084,0.159923,0.9672838,0.9199421,0.01347486,0,0,0,0,0,0,23.65785,23.56737,0.03221786
"2019-05-09 00:02:00",320593,12.02,0.8370152,0.8369588,-0.003269371,-0.08303074,58.10664,56.68844,0.9888154,0,0,23.52451,0,0.8590515,0.818471,0.011884,0.8590515,0.818471,0.01170582,0,-0.003382111,0.000607107,-0.07440603,-0.09469912,0.006000361,58.37405,57.69231,0.1685183,56.84237,56.33084,0.1934446,1.014628,0.9672838,0.01413275,0,0,0,0,0,0,23.59099,23.48091,0.03161659
"2019-05-09 00:03:00",320594,12.02,0.8902801,0.8896601,-0.003156622,-0.06425978,58.26624,56.89624,1.052113,0,0,23.44533,0,0.9300845,0.8590515,0.02100813,0.9300845,0.8590515,0.02054992,0,-0.003382125,0.0008436429,-0.05073188,-0.07778812,0.006327244,58.54403,58.20366,0.08767962,57.01255,56.67218,0.09052301,1.099191,1.014628,0.02454832,0,0,0,0,0,0,23.5045,23.39442,0.02846848
"2019-05-09 00:04:00",320595,12.02,0.9976142,0.9945139,-0.002142013,-0.05225383,58.82768,57.42364,1.18008,0,0,23.36937,0,1.075516,0.9334666,0.04250353,1.072134,0.9300845,0.04224014,0,-0.003382125,0.001629827,-0.04734975,-0.05411401,0.002176594,59.22478,58.37385,0.2233411,57.86329,56.84217,0.2678142,1.271679,1.102573,0.05016234,0,0,0,0,0,0,23.41801,23.32957,0.01899192
"2019-05-09 00:05:00",320596,12.02,1.173423,1.167842,-0.0008455272,-0.05687581,59.83729,58.41624,1.381648,0,0,23.32559,0,1.261527,1.08228,0.05424149,1.254762,1.075516,0.05339442,0,-0.003382109,0.001464496,-0.05411374,-0.06087796,0.002000064,60.24573,59.22478,0.3201885,58.88424,57.86313,0.3454616,1.481364,1.278443,0.06047051,0,0,0,0,0,0,23.37675,23.30797,0.01841515
"2019-05-09 00:06:00",320597,12.02,1.313115,1.304772,-0.002705714,-0.06674083,60.44984,59.01745,1.535265,0,0,23.29214,0,1.339329,1.264909,0.02313824,1.332565,1.258144,0.02263383,0,-0.003382144,0.001352857,-0.06087796,-0.07440716,0.003749434,60.75615,60.24573,0.1020923,59.22448,58.88411,0.07666614,1.565933,1.481364,0.02459496,0,0,0,0,0,0,23.35515,23.2451,0.01979529
"2019-05-09 00:07:00",320598,12.02,1.3399,1.33122,-0.002480251,-0.07378753,60.45825,59.04004,1.563631,0,0,23.2384,0,1.342711,1.339329,0.001256902,1.332576,1.329194,0.001653952,0,-0.003382173,0.001495648,-0.07102501,-0.0744078,0.001308781,60.75615,60.41568,0.1013021,59.22448,58.88401,0.05638092,1.565946,1.56255,0.00156993,0,0,0,0,0,0,23.29027,23.19987,0.02466014
