"TOA5","CR1000_Lanyu","CR1000","81819","CR1000.Std.31","CPU:CR1000_CWB_RadObs_Lanyu_20180928.CR1","36738","Rad_minute"
"TIMESTAMP","RECORD","BattV_Min","SWD_tot_watt_Avg","SWD_dif_watt_Avg","SWD_dir_watt_Avg","LWD_watt_Avg","UVB_watt_Avg","UVE_watt_Avg","PAR_watt_Avg","mt_flag_Tot","SWD_tot_watt_Max","SWD_tot_watt_Min","SWD_tot_watt_Std","SWD_dif_watt_Max","SWD_dif_watt_Min","SWD_dif_watt_Std","SWD_dir_watt_Max","SWD_dir_watt_Min","SWD_dir_watt_Std","LWD_watt_Max","LWD_watt_Min","LWD_watt_Std","UVB_watt_Max","UVB_watt_Min","UVB_watt_Std","UVE_watt_Max","UVE_watt_Min","UVE_watt_Std","PAR_watt_Max","PAR_watt_Min","PAR_watt_Std"
"TS","RN","Volts","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","umol/s.m^2","","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","umol/s.m^2","umol/s.m^2","umol/s.m^2"
"","","Min","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std"
"2019-05-09 01:36:00",320687,12.02,297.338,296.3521,1.69179,427.7476,0.1694338,0.01472888,666.3297,0,306.3573,292.4639,4.37876,305.5934,291.5165,4.363404,1.727787,1.295835,0.1193843,428.1693,427.2788,0.2129744,0.1705037,0.1691157,0.0003248518,0.01481654,0.01467904,3.628641E-05,686.2199,655.535,9.61342
"2019-05-09 01:37:00",320688,12.02,319.6587,318.6011,1.72778,427.7693,0.1720016,0.01497983,714.1431,0,332.7899,307.0351,7.443915,331.3447,305.9367,7.369923,1.72778,1.727775,6.104426E-07,428.2999,427.362,0.2235164,0.1743208,0.1705037,0.001051549,0.01522907,0.01481654,0.0001069981,741.7161,686.8728,15.64798
"2019-05-09 01:38:00",320689,12.02,347.0458,345.6114,1.900553,427.7462,0.1755642,0.0153196,771.141,0,361.5955,333.1288,8.022671,359.8438,332.0314,7.814901,2.159719,1.727775,0.2116084,428.0625,427.3621,0.2121731,0.1777908,0.1736268,0.0009295811,0.01550409,0.01516031,9.3298E-05,800.4788,743.022,16.53955
"2019-05-09 01:39:00",320690,12.02,370.9537,368.6045,2.188511,427.6501,0.1788087,0.01563529,819.6404,0,376.1669,361.9344,4.043878,372.8907,360.1871,3.799353,2.591657,2.159714,0.1077454,428.1131,427.3994,0.1431899,0.1798729,0.1774438,0.0006819519,0.01574473,0.01550409,6.946459E-05,829.8583,801.7847,8.088782
"2019-05-09 01:40:00",320691,12.02,380.7809,377.497,2.836421,427.9091,0.1811683,0.01586333,839.9121,0,382.944,376.1669,2.322308,379.0706,373.2341,1.891141,3.023595,2.159714,0.3091382,428.3752,427.4703,0.1946567,0.1819549,0.1798729,0.0007357456,0.01595099,0.01574473,7.276957E-05,843.5681,829.8583,4.41198
"2019-05-09 01:41:00",320692,12.02,379.4589,375.7855,3.023593,428.2517,0.1819433,0.01594984,835.4822,0,382.944,375.488,2.326025,379.0706,372.2029,2.195512,3.023595,3.023591,1.738781E-06,428.5778,427.7323,0.2304416,0.1819549,0.1816079,6.229168E-05,0.01601974,0.01591661,1.656607E-05,843.5681,827.2443,5.035471
"2019-05-09 01:42:00",320693,12.02,373.2028,370.2823,2.800437,428.2158,0.1819433,0.0159487,822.1673,0,375.488,371.4261,1.230175,372.2029,368.7739,0.949176,3.023629,2.59165,0.2158415,428.6628,427.9016,0.2107291,0.1819549,0.1816079,6.229168E-05,0.01598537,0.01591661,1.234171E-05,827.2443,818.1137,2.666556
"2019-05-09 01:43:00",320694,12.02,369.9232,368.2469,2.33971,428.5457,0.1821284,0.01597734,814.8698,0,371.4261,368.0358,1.004648,369.1173,367.0558,0.6741938,3.023629,2.159728,0.2529975,428.925,427.5932,0.3423411,0.1829959,0.1819549,0.0003135822,0.01605412,0.01595099,3.679389E-05,818.1137,810.9287,2.510137
"2019-05-09 01:44:00",320695,12.02,371.3454,369.3733,2.188523,428.773,0.1832041,0.01607704,817.3812,0,382.2683,367.3581,4.531328,379.0726,366.0257,4.046211,2.591666,2.159722,0.1077447,429.3051,428.1507,0.3369698,0.1847309,0.1819549,0.000662042,0.01622601,0.01595099,5.495573E-05,840.9609,808.317,9.89992
"2019-05-09 01:45:00",320696,12.02,401.0822,397.0132,2.829235,428.961,0.1872004,0.01645118,879.2436,0,421.5787,382.9461,11.13618,416.1549,379.7593,10.5798,3.023611,2.591661,0.2148897,429.5679,428.3084,0.3192505,0.189936,0.1847309,0.001499353,0.01670729,0.01619163,0.0001467147,920.6152,842.2668,22.70438
"2019-05-09 01:46:00",320697,12.01,434.8179,429.1969,3.073998,428.376,0.1916826,0.0168786,948.3533,0,441.912,422.2565,5.473134,436.0699,416.8416,5.484304,3.455548,3.023604,0.1386637,428.7699,427.909,0.1607653,0.193059,0.190283,0.0008451702,0.01701668,0.01674166,7.058931E-05,965.0137,921.9211,11.51649
"2019-05-09 01:47:00",320698,12.02,458.3644,448.0411,7.443815,428.4414,0.1951642,0.01722581,1002.239,0,475.8003,442.2509,9.185736,462.1646,436.4132,7.420707,11.23051,3.455548,2.004957,428.888,428.0364,0.2266046,0.1972231,0.193059,0.001316586,0.01746358,0.01701668,0.0001303449,1039.445,966.3196,20.10064
"2019-05-09 01:48:00",320699,12.02,489.5473,475.1203,12.39674,427.7231,0.1987499,0.01758447,1067.399,0,507.994,474.4447,11.51682,493.0665,462.1646,9.568056,18.14157,9.0708,2.423369,428.2995,427.1983,0.3274305,0.2003461,0.1972231,0.000918529,0.0177386,0.01746358,9.712976E-05,1106.041,1033.568,24.22499
"2019-05-09 01:49:00",320700,12.02,535.2968,513.1185,22.92172,427.0875,0.2038046,0.01805143,1163.736,0,560.5212,509.0107,15.40309,528.7756,494.0966,10.72222,37.147,12.09438,7.001747,428.0338,426.5356,0.3124475,0.2069392,0.1999991,0.00193512,0.01835739,0.0177386,0.0001894075,1217.036,1108,33.16945
"2019-05-09 01:50:00",320701,12.02,591.9857,551.9507,41.4884,426.596,0.2110396,0.01875444,1290.096,0,696.7633,552.3879,52.50078,598.4855,528.0889,27.3867,102.8035,17.27789,28.514,427.2401,425.61,0.5059253,0.2225544,0.2065922,0.006009793,0.01993874,0.01828863,0.0005888908,1518.702,1196.142,117.7955
"2019-05-09 01:51:00",320702,12.01,643.9382,598.8371,45.24663,427.0147,0.2176038,0.01939386,1384.989,0,676.4297,617.4687,18.18846,605.3528,592.6544,4.726662,68.24769,26.78101,12.78085,427.5049,426.4913,0.2439163,0.2208194,0.2152673,0.001859921,0.01973247,0.01911369,0.0001739163,1461.245,1331.979,38.34261
"2019-05-09 01:52:00",320703,12.01,625.7224,599.6547,27.37865,426.2798,0.2159614,0.01923343,1350.385,0,670.3421,596.4572,24.14646,618.0688,588.1906,9.935302,56.1542,7.775132,14.64729,427.3312,425.3954,0.6098185,0.2211664,0.2124913,0.002813379,0.01973247,0.01890742,0.0002595791,1449.519,1283.663,53.0328
"2019-05-09 01:53:00",320704,12.02,579.3157,560.842,17.00468,425.2655,0.2114272,0.0187957,1253.512,0,620.1851,551.7401,20.32055,591.9725,539.1057,16.50589,25.91732,11.66306,4.044344,426.4099,424.6922,0.5617926,0.2152673,0.2086743,0.001987207,0.01911369,0.01852927,0.0001885658,1324.155,1203.39,38.73994
"2019-05-09 01:54:00",320705,12.03,512.4777,497.8886,14.8812,425.8046,0.2056958,0.01822847,1118.647,0,553.7736,467.0091,29.86053,539.1057,459.7808,26.48584,23.32612,6.047457,5.598036,426.4572,424.6922,0.6019478,0.2097153,0.2013872,0.002945993,0.01859803,0.01777298,0.0002772016,1214.49,1022.513,65.04299
"2019-05-09 01:55:00",320706,12.03,441.6082,437.4384,4.67958,425.6974,0.1983798,0.01753692,971.1149,0,466.3313,424.3072,12.26975,458.7506,420.9792,11.34976,6.047457,3.887651,0.5641282,426.2821,424.7405,0.4034471,0.2013872,0.1968761,0.001160728,0.0177386,0.01732607,0.0001201505,1019.901,938.9355,23.8467
"2019-05-09 01:56:00",320707,12.02,414.4408,411.818,4.0605,424.1271,0.1962168,0.01733123,917.1317,0,424.3153,406.0142,5.928686,420.6359,405.1917,4.537066,7.775451,2.159847,1.682633,425.181,422.8617,0.6330571,0.1972231,0.1958351,0.0005475644,0.0174292,0.01725732,4.647263E-05,941.5473,898.4702,13.46647
"2019-05-09 01:57:00",320708,12.02,407.414,405.5739,2.54865,423.8216,0.1972173,0.01742233,903.3775,0,414.8321,403.309,3.323014,412.0656,402.1073,2.909921,3.887784,2.159847,0.4969352,424.5216,423.4495,0.2953485,0.1986111,0.1958351,0.0009865646,0.01760109,0.0172917,9.919868E-05,920.6845,894.5524,8.099382
"2019-05-09 01:58:00",320709,12.02,426.753,423.7545,2.620667,423.7108,0.2003577,0.01772771,943.5327,0,438.5601,415.5099,6.294526,434.0462,413.0957,5.750905,3.023859,2.159899,0.4087886,424.1566,422.9936,0.2529316,0.2017342,0.1986111,0.0009544539,0.01787611,0.01756671,9.487326E-05,967.7068,921.9905,11.94059
"2019-05-09 01:59:00",320710,12.02,459.1674,453.7639,4.953319,424.4172,0.2046027,0.01814253,1011.25,0,489.3882,439.2379,14.12717,482.1115,434.733,13.66727,7.775485,3.887819,0.6759688,425.2154,423.5538,0.4260664,0.2083272,0.2017342,0.001761274,0.0184949,0.01787611,0.0001647025,1077.385,970.3187,30.77651
"2019-05-09 02:00:00",320711,12.02,527.7017,520.6903,6.594758,423.3504,0.2131043,0.01896071,1156.828,0,578.8597,490.7438,26.51552,570.0167,482.7982,26.43508,9.503352,5.183656,1.089577,425.1592,420.9762,1.21044,0.2194314,0.2083272,0.00332616,0.01952621,0.01852927,0.0003259143,1267.394,1079.997,57.63475
"2019-05-09 02:01:00",320712,12.03,609.6043,598.5689,10.37449,419.3661,0.2234798,0.01996051,1324.256,0,627.662,581.232,11.46048,616.7162,572.0771,11.94702,13.39109,8.20744,1.603716,421.095,417.5785,1.135268,0.2253305,0.2194314,0.001534514,0.02021375,0.01962934,0.0001453041,1359.46,1271.965,21.36781
"2019-05-09 02:02:00",320713,12.03,640.9747,626.3759,14.52136,415.0419,0.2276149,0.02036673,1387.818,0,664.9327,628.3398,9.530386,635.2498,617.4029,4.767645,31.96532,9.50334,6.438581,417.7265,412.1728,1.34928,0.2305356,0.2256775,0.001272285,0.02062628,0.02021375,0.0001189907,1443.018,1360.766,23.16089
